timestamp,pose 00,pose 01,pose 02,pose 03,pose 10,pose 11,pose 12,pose 13,pose 20,pose 21,pose 22,pose 23,pose 30,pose 31,pose 32,pose 33
9025875107,0.22908628,-0.66711885,0.7088524,0.0,-0.9264974,0.07389969,0.3689732,0.0,-0.29853284,-0.7412767,-0.6011543,0.0,-0.3521967,-0.20200717,-0.5287369,1.0
9027875145,0.22409725,-0.6734972,0.70440173,0.0,-0.92672014,0.07642567,0.36789778,0.0,-0.3016125,-0.7352282,-0.6070167,0.0,-0.35235822,-0.19810742,-0.5313594,1.0
9029875185,0.20564288,-0.68060684,0.7031966,0.0,-0.9328593,0.080843925,0.35105252,0.0,-0.29577798,-0.7281749,-0.6182854,0.0,-0.3510753,-0.19330758,-0.5339304,1.0
9031875223,0.18424857,-0.6733003,0.716044,0.0,-0.9397004,0.09288871,0.3291422,0.0,-0.2881239,-0.73351085,-0.61558604,0.0,-0.34848917,-0.19212848,-0.5372576,1.0
9033875263,0.16984403,-0.669146,0.72346157,0.0,-0.9456802,0.0958339,0.31065238,0.0,-0.27720398,-0.7369257,-0.61652136,0.0,-0.3487717,-0.19251168,-0.54360735,1.0
9035875301,0.16495842,-0.67424834,0.71984565,0.0,-0.9454318,0.099821806,0.3101519,0.0,-0.2809757,-0.7317271,-0.6209893,0.0,-0.3529433,-0.18991327,-0.5461312,1.0
9037875341,0.1708678,-0.6806013,0.71245086,0.0,-0.941624,0.10008824,0.32144484,0.0,-0.29008377,-0.7257854,-0.6237687,0.0,-0.348166,-0.18557894,-0.5386728,1.0
9039875380,0.19215208,-0.69256556,0.69529194,0.0,-0.9294988,0.098843336,0.35533416,0.0,-0.31481725,-0.7145511,-0.62474585,0.0,-0.33128297,-0.17685056,-0.5143827,1.0
9041875418,0.20586634,-0.7166536,0.66635334,0.0,-0.9201107,0.090091825,0.3811561,0.0,-0.3331899,-0.691586,-0.64085376,0.0,-0.29650795,-0.16232485,-0.47594786,1.0
9043875458,0.13455641,-0.76024324,0.6355508,0.0,-0.9673566,0.038217425,0.25052083,0.0,-0.21474592,-0.6485135,-0.730284,0.0,-0.22256291,-0.14292175,-0.44566467,1.0
9045875497,0.013090193,-0.8110153,0.5848786,0.0,-0.99967486,0.002187848,0.02540788,0.0,-0.021885872,-0.585021,-0.81072307,0.0,-0.12474728,-0.12365085,-0.42029223,1.0
9047875535,-0.100124836,-0.8594455,0.5013274,0.0,-0.97479993,-0.016219974,-0.2224919,0.0,0.19935098,-0.51097065,-0.8361634,0.0,-0.030103922,-0.10431665,-0.39407468,1.0
9049875575,-0.20755577,-0.8893609,0.40737903,0.0,-0.8645586,-0.028062105,-0.50174785,0.0,0.4576668,-0.45634374,-0.7630801,0.0,0.064487696,-0.08783537,-0.37334076,1.0
9051875614,-0.3086233,-0.8961048,0.31897876,0.0,-0.6905159,-0.01956129,-0.72305256,0.0,0.65417063,-0.44341093,-0.61273754,0.0,0.16069895,-0.082353175,-0.3623729,1.0
9053875654,-0.3220538,-0.9131113,0.25001818,0.0,-0.55580103,-0.031428337,-0.830721,0.0,0.7663984,-0.40649724,-0.4973867,0.0,0.25043213,-0.08011305,-0.36999518,1.0
9055875693,-0.2751428,-0.9462824,0.16984174,0.0,-0.38815513,-0.052283525,-0.9201098,0.0,0.87956357,-0.3190865,-0.35291886,0.0,0.3561359,-0.067609966,-0.39112544,1.0
9057875734,-0.21843612,-0.967898,0.124334544,0.0,-0.3084929,-0.05238664,-0.94978297,0.0,0.9258065,-0.24582323,-0.28714657,0.0,0.45293564,-0.04993677,-0.4181356,1.0
9059875773,-0.17875755,-0.9798875,0.08869162,0.0,-0.21888736,-0.048278093,-0.974555,0.0,0.95923615,-0.19362262,-0.2058549,0.0,0.5255142,-0.03521079,-0.40808773,1.0
9061875813,-0.12974751,-0.9867985,0.096924454,0.0,-0.14803651,-0.07737684,-0.98595035,0.0,0.98043406,-0.14227295,-0.13604283,0.0,0.567852,-0.028361738,-0.36978272,1.0
9063875853,-0.064044,-0.9934137,0.09501609,0.0,-0.085133106,-0.08942604,-0.99234855,0.0,0.9943093,-0.07164276,-0.07884538,0.0,0.58099234,-0.013929307,-0.3182971,1.0
9065875892,-0.019278884,-0.9967925,0.07767144,0.0,0.11539501,-0.07938504,-0.9901423,0.0,0.9931325,-0.010126054,0.11655545,0.0,0.59794456,-0.0028413832,-0.2501646,1.0
9067875931,-0.0014184713,-0.9959175,0.09025952,0.0,0.23446792,-0.08807492,-0.96812606,0.0,0.972123,0.019789934,0.2336353,0.0,0.6074776,-0.000407964,-0.19475822,1.0
9069875971,-0.027294278,-0.9947875,0.09824756,0.0,0.36937195,-0.10136485,-0.9237366,0.0,0.9288806,0.011077076,0.37021345,0.0,0.6163657,-0.0048849285,-0.13732296,1.0
9071876011,-0.056639552,-0.9965209,0.0611414,0.0,0.5008359,-0.08133638,-0.8617122,0.0,0.86368716,-0.018185109,0.50370014,0.0,0.62089556,-0.00809896,-0.08799395,1.0
9073876050,-0.06644404,-0.99648035,0.05110517,0.0,0.6972426,-0.08300722,-0.71201265,0.0,0.7137488,-0.01167649,0.70030427,0.0,0.63838744,-0.008275241,-0.042956293,1.0
9075876091,-0.066939354,-0.99741477,-0.026132435,0.0,0.79897517,-0.03789699,-0.6001687,0.0,0.5976268,-0.06105411,0.79944646,0.0,0.679177,-0.015943706,-0.017546266,1.0
9077876132,-0.062968016,-0.9975079,-0.031822816,0.0,0.871848,-0.039461374,-0.48818398,0.0,0.4857117,-0.05848472,0.8721603,0.0,0.73220384,-0.010358006,-0.006855637,1.0
9079876171,-0.06862748,-0.9918106,-0.10771404,0.0,0.938044,-0.02739203,-0.3454324,0.0,0.33965302,-0.124746576,0.93224144,0.0,0.77903277,-0.017216623,0.010809153,1.0
9081876211,-0.07676971,-0.98543715,-0.15172255,0.0,0.9672743,-0.036699772,-0.2510644,0.0,0.24184003,-0.16603151,0.9560057,0.0,0.8191645,-0.024594873,0.015224874,1.0
9083876250,-0.1209023,-0.98063207,-0.15408945,0.0,0.8760326,-0.032399774,-0.48116255,0.0,0.46685094,-0.19316097,0.86298263,0.0,0.881062,-0.031093717,-0.012353361,1.0
9085876290,-0.1578033,-0.9798718,-0.12226768,0.0,0.7876676,-0.05022919,-0.61404955,0.0,0.5955484,-0.19320539,0.77973956,0.0,0.9223808,-0.031865895,-0.036348,1.0
9087876329,-0.18262362,-0.979231,-0.088065594,0.0,0.723001,-0.073055625,-0.68697363,0.0,0.66627216,-0.18912904,0.72132635,0.0,0.95642924,-0.034546554,-0.051719926,1.0
9089876370,-0.18927729,-0.97655743,-0.10251644,0.0,0.72017473,-0.06709373,-0.69054085,0.0,0.6674746,-0.20453347,0.7159914,0.0,0.9713075,-0.03683406,-0.04247301,1.0
9091876409,-0.1923052,-0.9704785,-0.14556865,0.0,0.75818175,-0.052753687,-0.64990574,0.0,0.62304026,-0.23534773,0.7459439,0.0,0.95974183,-0.039990664,-0.008886442,1.0
9093876448,-0.18778944,-0.96497226,-0.18320438,0.0,0.79407895,-0.039378524,-0.6065378,0.0,0.5780778,-0.25938004,0.7736589,0.0,0.92627573,-0.040019244,0.0358216,1.0
9095876489,-0.17240214,-0.96153986,-0.21381865,0.0,0.84118235,-0.030769587,-0.5398752,0.0,0.5125324,-0.27293617,0.8141353,0.0,0.88634884,-0.038753003,0.083718956,1.0
9097876528,-0.12424505,-0.96192497,-0.24344148,0.0,0.94665235,-0.041392088,-0.31958747,0.0,0.29734263,-0.27016157,0.9157511,0.0,0.8305577,-0.03979501,0.13914073,1.0
9099876568,-0.06193459,-0.9628894,-0.26269412,0.0,0.9906152,-0.027173162,-0.13395259,0.0,0.12184331,-0.26852506,0.9555357,0.0,0.7811551,-0.040949732,0.17534897,1.0
9101876607,-0.011953235,-0.97092867,-0.23907048,0.0,0.99906147,-0.021551013,0.037572637,0.0,-0.04163254,-0.23839699,0.97027504,0.0,0.75337446,-0.035066634,0.19378737,1.0
9103876648,0.049323678,-0.9681519,-0.2454568,0.0,0.97326183,-0.008610845,0.22953713,0.0,-0.2243404,-0.25021535,0.9418406,0.0,0.7505051,-0.03535965,0.20885494,1.0
9105876687,0.093069196,-0.9680081,-0.23302044,0.0,0.921195,-0.005088806,0.3890683,0.0,-0.37780702,-0.25086755,0.89125043,0.0,0.7884216,-0.036130875,0.21963418,1.0
9107876726,0.11452156,-0.9651609,-0.23526399,0.0,0.8682905,-0.017811418,0.49573597,0.0,-0.4826554,-0.2610499,0.8360004,0.0,0.85510755,-0.039350778,0.23589703,1.0
9109876769,0.1674639,-0.95917094,-0.22791885,0.0,0.7186543,-0.03949547,0.694245,0.0,-0.6749013,-0.28005582,0.68269825,0.0,0.8945675,-0.044586867,0.24728549,1.0
9111876825,0.20165938,-0.95445913,-0.2198664,0.0,0.58890945,-0.06121397,0.80587745,0.0,-0.78263605,-0.29199418,0.5497456,0.0,0.9256936,-0.045337826,0.24694663,1.0
9113876880,0.21631217,-0.95344824,-0.21010831,0.0,0.5378496,-0.06323099,0.8406662,0.0,-0.8148171,-0.294853,0.49913412,0.0,0.9581644,-0.043649077,0.23107001,1.0
9115876934,0.22541606,-0.9489572,-0.22060746,0.0,0.5389682,-0.067168,0.8396437,0.0,-0.81160384,-0.30816948,0.49631715,0.0,0.98994565,-0.046080858,0.20413312,1.0
9117876990,0.2386685,-0.94369173,-0.22909287,0.0,0.54386306,-0.06554949,0.8366101,0.0,-0.8045188,-0.32426772,0.4975943,0.0,1.0175208,-0.0490821,0.15849423,1.0
9119877045,0.23520583,-0.94177383,-0.24029255,0.0,0.572759,-0.065438986,0.8171079,0.0,-0.7852552,-0.32981837,0.5240175,0.0,1.0491667,-0.051971495,0.09681375,1.0
9121877100,0.22452241,-0.93939435,-0.2590901,0.0,0.6424805,-0.057202816,0.7641639,0.0,-0.7326721,-0.3380322,0.5906994,0.0,1.089676,-0.05744721,0.042429715,1.0
9123877155,0.20823348,-0.93786794,-0.27756572,0.0,0.72272784,-0.043668628,0.689752,0.0,-0.6590171,-0.344234,0.6687298,0.0,1.1396993,-0.05207321,0.011715621,1.0
9125877209,0.1635971,-0.9413688,-0.29506058,0.0,0.79985714,-0.048502684,0.5982273,0.0,-0.5774638,-0.33387458,0.7450257,0.0,1.1937649,-0.046850875,0.009090088,1.0
9127877265,0.116858065,-0.9484651,-0.29454756,0.0,0.8644148,-0.04889655,0.50039613,0.0,-0.48901057,-0.31308663,0.8141532,0.0,1.2564874,-0.042742163,0.036159925,1.0
9129877318,0.08682746,-0.9496044,-0.30118543,0.0,0.9218246,-0.038055897,0.3857348,0.0,-0.37775725,-0.31113255,0.87206423,0.0,1.3473346,-0.04240808,0.08751756,1.0
9131877375,0.1326161,-0.95554477,-0.26333797,0.0,0.7504601,-0.07675552,0.65644336,0.0,-0.6474738,-0.28467953,0.70691943,0.0,1.3889303,-0.04239773,0.13404518,1.0
9133877428,0.21855086,-0.95753145,-0.18806675,0.0,0.3896707,-0.091056466,0.91644186,0.0,-0.8946465,-0.27357334,0.35322142,0.0,1.4015149,-0.04648803,0.14269298,1.0
9135877484,0.27328515,-0.94433105,-0.18317801,0.0,0.33338258,-0.08564401,0.9388937,0.0,-0.9023145,-0.31765413,0.2914182,0.0,1.4371659,-0.0553741,0.1796198,1.0
9137877539,0.2742833,-0.9375509,-0.21393257,0.0,0.39301983,-0.09374809,0.91473866,0.0,-0.87766975,-0.33497736,0.34276247,0.0,1.4591663,-0.06358567,0.25067064,1.0
9139877594,0.24216437,-0.9318826,-0.27009493,0.0,0.61131096,-0.06962681,0.7883217,0.0,-0.7534291,-0.35601538,0.5528089,0.0,1.4835292,-0.070437886,0.36530906,1.0
9141877649,0.1608749,-0.926245,-0.34086597,0.0,0.82035565,-0.06653428,0.5679701,0.0,-0.5487586,-0.37100348,0.74914646,0.0,1.517869,-0.059274167,0.496516,1.0
9143877703,-0.028668761,-0.9370906,-0.34790656,0.0,0.9960863,-0.055892944,0.068467185,0.0,-0.08360559,-0.34458214,0.9350258,0.0,1.6097382,-0.047288075,0.6040945,1.0
9145877759,-0.17012739,-0.9448578,-0.2798217,0.0,0.9355959,-0.06572437,-0.3469009,0.0,0.30938095,-0.3208175,0.8951869,0.0,1.7131888,-0.04947844,0.6729866,1.0
9147877813,-0.216694,-0.9408318,-0.26053554,0.0,0.855435,-0.054398775,-0.5150449,0.0,0.47039783,-0.33447856,0.8166088,0.0,1.8127897,-0.07033856,0.7428825,1.0
9149877869,-0.2457124,-0.9403728,-0.23521219,0.0,0.8228786,-0.07409954,-0.5633652,0.0,0.5123442,-0.33197677,0.7920195,0.0,1.9432929,-0.065705314,0.83470726,1.0
9151877922,-0.24389613,-0.9360512,-0.25362003,0.0,0.8134286,-0.055052996,-0.57905376,0.0,0.52806133,-0.34753063,0.77483785,0.0,2.0573115,-0.059733152,0.9534235,1.0
9153877979,-0.24770713,-0.9205854,-0.30193228,0.0,0.8191471,-0.032593608,-0.5726563,0.0,0.51733804,-0.38917822,0.762169,0.0,2.1341102,-0.06834468,1.0810294,1.0
9155878033,-0.23918152,-0.9208911,-0.3078177,0.0,0.79721636,-0.0052763224,-0.60367066,0.0,0.55429083,-0.38978416,0.7354114,0.0,2.1917038,-0.083610356,1.2194787,1.0
9157878088,-0.25978327,-0.92424154,-0.27980387,0.0,0.7258506,0.0042156577,-0.6878394,0.0,0.6369093,-0.38178504,0.6697662,0.0,2.2488189,-0.06918496,1.3629075,1.0
9159878143,-0.31107008,-0.90814096,-0.28020647,0.0,0.66981536,-0.00032866,-0.7425277,0.0,0.6742277,-0.4186647,0.60838884,0.0,2.3176796,-0.06310171,1.4846439,1.0
9161878197,-0.32399988,-0.8951277,-0.3062204,0.0,0.6889064,-0.0013874769,-0.7248492,0.0,0.64840764,-0.44580805,0.61710846,0.0,2.395478,-0.08209294,1.614744,1.0
9163878252,-0.30357957,-0.88928795,-0.3420623,0.0,0.7635007,-0.012275934,-0.64569044,0.0,0.5700056,-0.4571831,0.6826985,0.0,2.4884732,-0.09614575,1.7438499,1.0
9165878307,-0.2521212,-0.89866877,-0.35892794,0.0,0.84760404,-0.026118875,-0.5299859,0.0,0.466907,-0.43784952,0.7683005,0.0,2.5770288,-0.079270065,1.8793592,1.0
9167878363,-0.260728,-0.8767943,-0.4040456,0.0,0.87832004,-0.041715622,-0.47624972,0.0,0.400718,-0.479053,0.7809823,0.0,2.638551,-0.08624411,2.010859,1.0
9169878409,-0.28750324,-0.86609,-0.40893754,0.0,0.84587795,-0.029333115,-0.5325692,0.0,0.44925746,-0.49902672,0.7410399,0.0,2.6706376,-0.102485836,2.1355174,1.0
9171878432,-0.30331624,-0.87543726,-0.37630948,0.0,0.796623,-0.016267061,-0.6042575,0.0,0.5228681,-0.48305792,0.7023275,0.0,2.6776652,-0.08870208,2.2727807,1.0
9173878455,-0.34282124,-0.87764174,-0.3349909,0.0,0.7242891,-0.019851327,-0.6892108,0.0,0.5982301,-0.47890618,0.64247155,0.0,2.6907315,-0.077634335,2.4003856,1.0
9175878479,-0.3513224,-0.8685065,-0.34966922,0.0,0.69332784,0.009643197,-0.7205576,0.0,0.62918097,-0.49558365,0.59877217,0.0,2.71066,-0.08395231,2.5224514,1.0
9177878502,-0.35023582,-0.86672574,-0.35513547,0.0,0.6862882,0.020576835,-0.7270385,0.0,0.6374506,-0.49836028,0.58761704,0.0,2.7486496,-0.103321195,2.6482034,1.0
9179878525,-0.40543187,-0.85481036,-0.32392082,0.0,0.6622906,-0.030436397,-0.7486288,0.0,0.63007665,-0.5180475,0.5784724,0.0,2.8142037,-0.10289371,2.7816331,1.0
9181878548,-0.4594078,-0.7868807,-0.41202265,0.0,0.6957764,-0.030465603,-0.7176117,0.0,0.5521223,-0.6163523,0.5614896,0.0,2.8554075,-0.12039375,2.9263678,1.0
9183878571,-0.39783525,-0.8515264,-0.34151143,0.0,0.73655736,-0.07450664,-0.67225903,0.0,0.5470014,-0.51899105,0.65683925,0.0,2.8737395,-0.10259211,3.056777,1.0
9185878595,-0.32833874,-0.9116392,-0.24719894,0.0,0.755046,-0.09606719,-0.64859575,0.0,0.56753767,-0.3996058,0.7198723,0.0,2.878569,-0.08504319,3.18405,1.0
9187878617,-0.33428144,-0.92151505,-0.19765222,0.0,0.6759222,-0.08825934,-0.7316692,0.0,0.65679944,-0.37818077,0.6523756,0.0,2.8932996,-0.067934275,3.3047686,1.0
9189878641,-0.39778435,-0.903599,-0.15898407,0.0,0.5120635,-0.07486904,-0.85567814,0.0,0.7612871,-0.42178553,0.4924822,0.0,2.9430978,-0.068773985,3.3956072,1.0
9191878664,-0.43118262,-0.89155644,-0.13859698,0.0,0.39363462,-0.04766071,-0.91803086,0.0,0.8118706,-0.45039535,0.37149763,0.0,3.0126545,-0.08589041,3.4765625,1.0
9193878686,-0.46853447,-0.8774667,-0.10260388,0.0,0.31266102,-0.056073427,-0.94820815,0.0,0.82626784,-0.47634846,0.30062205,0.0,3.1136816,-0.09640813,3.5368657,1.0
9195878710,-0.48725438,-0.87144065,-0.05634001,0.0,0.25232708,-0.078733206,-0.96443355,0.0,0.8360108,-0.48414066,0.25825125,0.0,3.2065926,-0.09473407,3.5960038,1.0
9197878733,-0.48882985,-0.8688183,-0.07874152,0.0,0.27846277,-0.06985831,-0.9579031,0.0,0.826743,-0.49017817,0.27608228,0.0,3.2572339,-0.09286165,3.6697702,1.0
9199878757,-0.48672533,-0.8721483,-0.049553722,0.0,0.21301734,-0.06348324,-0.97498375,0.0,0.84718466,-0.48510522,0.21668172,0.0,3.2653196,-0.09073651,3.7251773,1.0
9201878779,-0.392447,-0.91877943,-0.0427745,0.0,0.5544202,-0.1991955,-0.8080466,0.0,0.73389614,-0.34083053,0.58756363,0.0,3.2325547,-0.0715127,3.8542948,1.0
9203878803,-0.25632823,-0.9665871,-0.0023208857,0.0,0.7652121,-0.20145774,-0.61144537,0.0,0.59054756,-0.15850665,0.79128325,0.0,3.1643143,-0.03660357,3.9735703,1.0
9205878825,-0.29884052,-0.9443433,-0.13751449,0.0,0.7903781,-0.16417158,-0.5902122,0.0,0.534787,-0.28506768,0.79544914,0.0,3.116477,-0.052295923,4.063445,1.0
9207878848,-0.26354134,-0.9580021,-0.11304028,0.0,0.77423227,-0.14016175,-0.61718655,0.0,0.57542205,-0.25017357,0.7786544,0.0,3.0814867,-0.045898914,4.1056657,1.0
9209878872,-0.24696684,-0.9623483,-0.1135456,0.0,0.76640946,-0.12227917,-0.63060594,0.0,0.5929784,-0.24276136,0.7677522,0.0,3.042663,-0.04687333,4.106498,1.0
9211878896,-0.21345401,-0.96932876,-0.12181562,0.0,0.798525,-0.10127127,-0.59338176,0.0,0.5628456,-0.22393258,0.79565006,0.0,3.010644,-0.040942073,4.0722456,1.0
9213878918,-0.26750267,-0.958191,-0.101550385,0.0,0.8092217,-0.16619289,-0.563507,0.0,0.52307034,-0.2329164,0.8198459,0.0,3.005055,-0.05148828,4.0352306,1.0
9215878941,-0.3064313,-0.9471413,-0.094991386,0.0,0.8015766,-0.20293176,-0.5623999,0.0,0.51339537,-0.2484798,0.82139087,0.0,2.988422,-0.059143186,4.019364,1.0
9217878964,-0.37788844,-0.90519315,-0.19448793,0.0,0.7499525,-0.17608166,-0.6376256,0.0,0.5429286,-0.38680804,0.74539125,0.0,2.970539,-0.08062065,4.038456,1.0
9219878988,-0.54482126,-0.74810284,-0.37882978,0.0,0.6933386,-0.14778566,-0.70529497,0.0,0.47164756,-0.646917,0.5992053,0.0,2.9610908,-0.14617193,4.100995,1.0
9221879010,-0.36638904,-0.9126509,-0.1811831,0.0,0.6631617,-0.11954725,-0.7388674,0.0,0.65266806,-0.39086664,0.64903593,0.0,2.9326868,-0.0759145,4.1660347,1.0
9223879034,-0.22810423,-0.97228944,-0.05120161,0.0,0.52600753,-0.07880974,-0.8468205,0.0,0.8193195,-0.22009584,0.5294086,0.0,2.9085817,-0.03409314,4.1959653,1.0
9225879057,-0.2569685,-0.96527326,-0.047059327,0.0,0.32102597,-0.03932929,-0.9462534,0.0,0.9115423,-0.2582647,0.31998426,0.0,2.9241214,-0.03728175,4.1988964,1.0
9227879080,-0.30869508,-0.9504603,-0.036499947,0.0,0.13824987,-0.006868601,-0.99037343,0.0,0.94106007,-0.31076974,0.13352144,0.0,2.956273,-0.050735116,4.1610556,1.0
